Typ,Placering,Position,
Buckla,Annan del,,
Buckla,Bagagelucka,Insida,
Buckla,Bagagelucka,Utsida,
Buckla,Däck,Höger bak,
Buckla,Däck,Höger fram,
Buckla,Däck,Vänster bak,
Buckla,Däck,Vänster fram,
Buckla,Dörr utsida,Höger bak,
Buckla,Dörr utsida,Höger fram,
Buckla,Dörr utsida,Vänster bak,
Buckla,Dörr utsida,Vänster fram,
Buckla,Grill,,
Buckla,Motorhuv,,
Buckla,Skärm,Höger bak,
Buckla,Skärm,Höger fram,
Buckla,Skärm,Vänster bak,
Buckla,Skärm,Vänster fram,
Buckla,Tak,,
Buckla,Tröskel,Höger,
Buckla,Tröskel,Vänster,
Däckskada,Däck,Höger bak,
Däckskada,Däck,Höger fram,
Däckskada,Däck,Vänster bak,
Däckskada,Däck,Vänster fram,
Däckskada sommarhjul,Däck,Höger bak,
Däckskada sommarhjul,Däck,Höger fram,
Däckskada sommarhjul,Däck,Vänster bak,
Däckskada sommarhjul,Däck,Vänster fram,
Däckskada vinterhjul,Däck,Höger bak,
Däckskada vinterhjul,Däck,Höger fram,
Däckskada vinterhjul,Däck,Vänster bak,
Däckskada vinterhjul,Däck,Vänster fram,
Fälgskada sommarhjul,Fälg,Höger bak,
Fälgskada sommarhjul,Fälg,Höger fram,
Fälgskada sommarhjul,Fälg,Vänster bak,
Fälgskada sommarhjul,Fälg,Vänster fram,
Fälgskada vinterhjul,Fälg,Höger bak,
Fälgskada vinterhjul,Fälg,Höger fram,
Fälgskada vinterhjul,Fälg,Vänster bak,
Fälgskada vinterhjul,Fälg,Vänster fram,
Feltankning,,,
Höjdledsskada,,,
Intryck,Annan del,,
Intryck,Bagagelucka,Insida,
Intryck,Bagagelucka,Utsida,
Intryck,Dörr insida,Höger bak,
Intryck,Dörr insida,Höger fram,
Intryck,Dörr insida,Vänster bak,
Intryck,Dörr insida,Vänster fram,
Intryck,Dörr utsida,Höger bak,
Intryck,Dörr utsida,Höger fram,
Intryck,Dörr utsida,Vänster bak,
Intryck,Dörr utsida,Vänster fram,
Intryck,Front läpp,Höger,
Intryck,Front läpp,Mitten,
Intryck,Front läpp,Vänster,
Intryck,Grill,,
Invändig skada,Annan del,,
Invändig skada,Bagagelucka,Insida,
Invändig skada,Panel (transportbil),,
Invändig skada,Dörr insida,Höger bak,
Invändig skada,Dörr insida,Höger fram,
Invändig skada,Dörr insida,Vänster bak,
Invändig skada,Dörr insida,Vänster fram,
Invändig skada,Tak,,
Jack,Annan del,,
Jack,Bagagelucka,Insida,
Jack,Bagagelucka,Utsida,
Jack,Dörr insida,Höger bak,
Jack,Dörr insida,Höger fram,
Jack,Dörr insida,Vänster bak,
Jack,Dörr insida,Vänster fram,
Jack,Dörr utsida,Höger bak,
Jack,Dörr utsida,Höger fram,
Jack,Dörr utsida,Vänster bak,
Jack,Dörr utsida,Vänster fram,
Jack,Front läpp,Höger,
Jack,Front läpp,Mitten,
Jack,Front läpp,Vänster,
Jack,Motorhuv,Utsida,
Jack,Skärm,Höger bak,
Jack,Skärm,Höger fram,
Jack,Skärm,Vänster bak,
Jack,Skärm,Vänster fram,
Jack,Stötfångare fram,Bak,
Jack,Stötfångare fram,Fram,
Jack,Stötfångare fram,Höger bak,
Jack,Stötfångare fram,Höger fram,
Jack,Stötfångare fram,Vänster bak,
Jack,Stötfångare fram,Vänster fram,
Jack,Stötfångare bak,Bak,
Jack,Stötfångare bak,Fram,
Jack,Stötfångare bak,Höger bak,
Jack,Stötfångare bak,Höger fram,
Jack,Stötfångare bak,Vänster bak,
Jack,Stötfångare bak,Vänster fram,
Jack,Tröskel,Höger,
Jack,Tröskel,Vänster,
Jack,Yttre backspegel,Höger,
Jack,Yttre backspegel,Vänster,
Krockskada,Annan del,,
Krockskada,Bagagelucka,Insida,
Krockskada,Bagagelucka,Utsida,
Krockskada,Dörr utsida,Höger bak,
Krockskada,Dörr utsida,Höger fram,
Krockskada,Dörr utsida,Vänster bak,
Krockskada,Dörr utsida,Vänster fram,
Krockskada,Front läpp,Höger,
Krockskada,Front läpp,Mitten,
Krockskada,Front läpp,Vänster,
Krockskada,Fälg,Höger bak,
Krockskada,Fälg,Höger fram,
Krockskada,Fälg,Vänster bak,
Krockskada,Fälg,Vänster fram,
Krockskada,Glas,Bak,
Krockskada,Glas,Fram,
Krockskada,Glas,Höger bak,
Krockskada,Glas,Höger fram,
Krockskada,Glas,Vänster bak,
Krockskada,Glas,Vänster fram,
Krockskada,Grill,,
Krockskada,Motorhuv,Utsida,
Krockskada,Skärm,Höger bak,
Krockskada,Skärm,Höger fram,
Krockskada,Skärm,Vänster bak,
Krockskada,Skärm,Vänster fram,
Krockskada,Stötfångare fram,Bak,
Krockskada,Stötfångare fram,Fram,
Krockskada,Stötfångare fram,Höger bak,
Krockskada,Stötfångare fram,Höger fram,
Krockskada,Stötfångare fram,Vänster bak,
Krockskada,Stötfångare fram,Vänster fram,
Krockskada,Stötfångare bak,Bak,
Krockskada,Stötfångare bak,Fram,
Krockskada,Stötfångare bak,Höger bak,
Krockskada,Stötfångare bak,Höger fram,
Krockskada,Stötfångare bak,Vänster bak,
Krockskada,Stötfångare bak,Vänster fram,
Krockskada,Tröskel,Höger,
Krockskada,Tröskel,Vänster,
Krockskada,Yttre backspegel,Höger,
Krockskada,Yttre backspegel,Vänster,
Krossad ruta,Höger fram,,
Krossad ruta,Höger bak,,
Krossad ruta,Höger annan,,
Krossad ruta,Vänster bak,,
Krossad ruta,Vänster fram,,
Krossad ruta,Vänster annan,,
Krossad ruta,Vindruta,,
Krossad ruta,Bakruta,,
"Krossad ruta			",Tak,,
Oaktsamhet,Annan del,,
Oaktsamhet,Bagagelucka,Insida,
Oaktsamhet,Bagagelucka,Utsida,
Oaktsamhet,Däck,Höger bak,
Oaktsamhet,Däck,Höger fram,
Oaktsamhet,Däck,Vänster bak,
Oaktsamhet,Däck,Vänster fram,
Oaktsamhet,Dörr insida,Höger bak,
Oaktsamhet,Dörr insida,Höger fram,
Oaktsamhet,Dörr insida,Vänster bak,
Oaktsamhet,Dörr insida,Vänster fram,
Oaktsamhet,Dörr utsida,Höger bak,
Oaktsamhet,Dörr utsida,Höger fram,
Oaktsamhet,Dörr utsida,Vänster bak,
Oaktsamhet,Dörr utsida,Vänster fram,
Oaktsamhet,Front läpp,Höger,
Oaktsamhet,Front läpp,Mitten,
Oaktsamhet,Front läpp,Vänster,
Oaktsamhet,Fälg,Höger bak,
Oaktsamhet,Fälg,Höger fram,
Oaktsamhet,Fälg,Vänster bak,
Oaktsamhet,Fälg,Vänster fram,
Oaktsamhet,Glas,Bak,
Oaktsamhet,Glas,Fram,
Oaktsamhet,Glas,Höger bak,
Oaktsamhet,Glas,Höger fram,
Oaktsamhet,Glas,Vänster bak,
Oaktsamhet,Glas,Vänster fram,
Oaktsamhet,Grill,,
Oaktsamhet,Motorhuv,Utsida,
Oaktsamhet,Skärm,Höger bak,
Oaktsamhet,Skärm,Höger fram,
Oaktsamhet,Skärm,Vänster bak,
Oaktsamhet,Skärm,Vänster fram,
Oaktsamhet,Stötfångare fram,Bak,
Oaktsamhet,Stötfångare fram,Fram,
Oaktsamhet,Stötfångare fram,Höger bak,
Oaktsamhet,Stötfångare fram,Höger fram,
Oaktsamhet,Stötfångare fram,Vänster bak,
Oaktsamhet,Stötfångare fram,Vänster fram,
Oaktsamhet,Stötfångare bak,Bak,
Oaktsamhet,Stötfångare bak,Fram,
Oaktsamhet,Stötfångare bak,Höger bak,
Oaktsamhet,Stötfångare bak,Höger fram,
Oaktsamhet,Stötfångare bak,Vänster bak,
Oaktsamhet,Stötfångare bak,Vänster fram,
Oaktsamhet,Tak,,
Oaktsamhet,Tröskel,Höger,
Oaktsamhet,Tröskel,Vänster,
Oaktsamhet,Yttre backspegel,Höger,
Oaktsamhet,Yttre backspegel,Vänster,
Punktering,Däck,Höger bak,
Punktering,Däck,Höger fram,
Punktering,Däck,Vänster bak,
Punktering,Däck,Vänster fram,
Repa,Annan del,,
Repa,Bagagelucka,Insida,
Repa,Bagagelucka,Utsida,
Repa,Dörr insida,Höger bak,
Repa,Dörr insida,Höger fram,
Repa,Dörr insida,Vänster bak,
Repa,Dörr insida,Vänster fram,
Repa,Dörr utsida,Höger bak,
Repa,Dörr utsida,Höger fram,
Repa,Dörr utsida,Vänster bak,
Repa,Dörr utsida,Vänster fram,
Repa,Front läpp,Höger,
Repa,Front läpp,Mitten,
Repa,Front läpp,Vänster,
Repa,Fälg,Höger bak,
Repa,Fälg,Höger fram,
Repa,Fälg,Vänster bak,
Repa,Fälg,Vänster fram,
Repa,Glas,Bak,
Repa,Glas,Fram,
Repa,Glas,Höger bak,
Repa,Glas,Höger fram,
Repa,Glas,Vänster bak,
Repa,Glas,Vänster fram,
Repa,Grill,,
Repa,Motorhuv,Utsida,
Repa,Skärm,Höger bak,
Repa,Skärm,Höger fram,
Repa,Skärm,Vänster bak,
Repa,Skärm,Vänster fram,
Repa,Stötfångare fram,Bak,
Repa,Stötfångare fram,Fram,
Repa,Stötfångare fram,Höger bak,
Repa,Stötfångare fram,Höger fram,
Repa,Stötfångare fram,Vänster bak,
Repa,Stötfångare fram,Vänster fram,
Repa,Stötfångare bak,Bak,
Repa,Stötfångare bak,Fram,
Repa,Stötfångare bak,Höger bak,
Repa,Stötfångare bak,Höger fram,
Repa,Stötfångare bak,Vänster bak,
Repa,Stötfångare bak,Vänster fram,
Repa,Tak,,
Repa,Tröskel,Höger,
Repa,Tröskel,Vänster,
Repa,Yttre backspegel,Höger,
Repa,Yttre backspegel,Vänster,
Repor,Annan del,,
Repor,Bagagelucka,Insida,
Repor,Bagagelucka,Utsida,
Repor,Dörr insida,Höger bak,
Repor,Dörr insida,Höger fram,
Repor,Dörr insida,Vänster bak,
Repor,Dörr insida,Vänster fram,
Repor,Dörr utsida,Höger bak,
Repor,Dörr utsida,Höger fram,
Repor,Dörr utsida,Vänster bak,
Repor,Dörr utsida,Vänster fram,
Repor,Front läpp,Höger,
Repor,Front läpp,Mitten,
Repor,Front läpp,Vänster,
Repor,Fälg,Höger bak,
Repor,Fälg,Höger fram,
Repor,Fälg,Vänster bak,
Repor,Fälg,Vänster fram,
Repor,Glas,Bak,
Repor,Glas,Fram,
Repor,Glas,Höger bak,
Repor,Glas,Höger fram,
Repor,Glas,Vänster bak,
Repor,Glas,Vänster fram,
Repor,Grill,,
Repor,Motorhuv,Utsida,
Repor,Skärm,Höger bak,
Repor,Skärm,Höger fram,
Repor,Skärm,Vänster bak,
Repor,Skärm,Vänster fram,
Repor,Stötfångare fram,Bak,
Repor,Stötfångare fram,Fram,
Repor,Stötfångare fram,Höger bak,
Repor,Stötfångare fram,Höger fram,
Repor,Stötfångare fram,Vänster bak,
Repor,Stötfångare fram,Vänster fram,
Repor,Stötfångare bak,Bak,
Repor,Stötfångare bak,Fram,
Repor,Stötfångare bak,Höger bak,
Repor,Stötfångare bak,Höger fram,
Repor,Stötfångare bak,Vänster bak,
Repor,Stötfångare bak,Vänster fram,
Repor,Tak,,
Repor,Tröskel,Höger,
Repor,Tröskel,Vänster,
Repor,Yttre backspegel,Höger,
Repor,Yttre backspegel,Vänster,
Skrapad,Annan del,,
Skrapad,Bagagelucka,Insida,
Skrapad,Bagagelucka,Utsida,
Skrapad,Dörr insida,Höger bak,
Skrapad,Dörr insida,Höger fram,
Skrapad,Dörr insida,Vänster bak,
Skrapad,Dörr insida,Vänster fram,
Skrapad,Dörr utsida,Höger bak,
Skrapad,Dörr utsida,Höger fram,
Skrapad,Dörr utsida,Vänster bak,
Skrapad,Dörr utsida,Vänster fram,
Skrapad,Front läpp,Höger,
Skrapad,Front läpp,Mitten,
Skrapad,Front läpp,Vänster,
Skrapad,Fälg,Höger bak,
Skrapad,Fälg,Höger fram,
Skrapad,Fälg,Vänster bak,
Skrapad,Fälg,Vänster fram,
Skrapad,Glas,Bak,
Skrapad,Glas,Fram,
Skrapad,Glas,Höger bak,
Skrapad,Glas,Höger fram,
Skrapad,Glas,Vänster bak,
Skrapad,Glas,Vänster fram,
Skrapad,Grill,,
Skrapad,Motorhuv,Utsida,
Skrapad,Skärm,Höger bak,
Skrapad,Skärm,Höger fram,
Skrapad,Skärm,Vänster bak,
Skrapad,Skärm,Vänster fram,
Skrapad,Stötfångare fram,Bak,
Skrapad,Stötfångare fram,Fram,
Skrapad,Stötfångare fram,Höger bak,
Skrapad,Stötfångare fram,Höger fram,
Skrapad,Stötfångare fram,Vänster bak,
Skrapad,Stötfångare fram,Vänster fram,
Skrapad,Stötfångare bak,Bak,
Skrapad,Stötfångare bak,Fram,
Skrapad,Stötfångare bak,Höger bak,
Skrapad,Stötfångare bak,Höger fram,
Skrapad,Stötfångare bak,Vänster bak,
Skrapad,Stötfångare bak,Vänster fram,
Skrapad,Tak,,
Skrapad,Tröskel,Höger,
Skrapad,Tröskel,Vänster,
Skrapad,Yttre backspegel,Höger,
Skrapad,Yttre backspegel,Vänster,
Skrapad fälg,Fälg,Höger bak,
Skrapad fälg,Fälg,Höger fram,
Skrapad fälg,Fälg,Vänster bak,
Skrapad fälg,Fälg,Vänster fram,
Spricka,Glas,Bak,
Spricka,Glas,Fram,
Spricka,Glas,Höger bak,
Spricka,Glas,Höger fram,
Spricka,Glas,Vänster bak,
Spricka,Glas,Vänster fram,
Spricka,Grill,,
Spricka,Stötfångare fram,Bak,
Spricka,Stötfångare fram,Fram,
Spricka,Stötfångare fram,Höger bak,
Spricka,Stötfångare fram,Höger fram,
Spricka,Stötfångare fram,Vänster bak,
Spricka,Stötfångare fram,Vänster fram,
Spricka,Stötfångare bak,Bak,
Spricka,Stötfångare bak,Fram,
Spricka,Stötfångare bak,Höger bak,
Spricka,Stötfångare bak,Höger fram,
Spricka,Stötfångare bak,Vänster bak,
Spricka,Stötfångare bak,Vänster fram,
Spricka,Yttre backspegel,Höger,
Spricka,Yttre backspegel,Vänster,
Stenskott,Annan del,,
Stenskott,Glas,Bak,
Stenskott,Glas,Fram,
Stenskott,Glas,Höger bak,
Stenskott,Glas,Höger fram,
Stenskott,Glas,Vänster bak,
Stenskott,Glas,Vänster fram,
Stenskott,Grill,,
Stenskott,Motorhuv,,
Stenskott,Skärm,Höger bak,
Stenskott,Skärm,Höger fram,
Stenskott,Skärm,Vänster bak,
Stenskott,Skärm,Vänster fram,
Stenskott,Stötfångare fram,Bak,
Stenskott,Stötfångare fram,Fram,
Stenskott,Stötfångare fram,Höger bak,
Stenskott,Stötfångare fram,Höger fram,
Stenskott,Stötfångare fram,Vänster bak,
Stenskott,Stötfångare fram,Vänster fram,
Stenskott,Stötfångare bak,Bak,
Stenskott,Stötfångare bak,Fram,
Stenskott,Stötfångare bak,Höger bak,
Stenskott,Stötfångare bak,Höger fram,
Stenskott,Stötfångare bak,Vänster bak,
Stenskott,Stötfångare bak,Vänster fram,
Stenskott,Tröskel,Höger,
Stenskott,Tröskel,Vänster,
Stenskott,Yttre backspegel,Höger,
Stenskott,Yttre backspegel,Vänster,
Trasig,Annan del,,
Trasig,Bagagelucka,Insida,
Trasig,Bagagelucka,Utsida,
Trasig,Dörr insida,Höger bak,
Trasig,Dörr insida,Höger fram,
Trasig,Dörr insida,Vänster bak,
Trasig,Dörr insida,Vänster fram,
Trasig,Dörr utsida,Höger bak,
Trasig,Dörr utsida,Höger fram,
Trasig,Dörr utsida,Vänster bak,
Trasig,Dörr utsida,Vänster fram,
Trasig,Fälg,Höger bak,
Trasig,Fälg,Höger fram,
Trasig,Fälg,Vänster bak,
Trasig,Fälg,Vänster fram,
Trasig,Yttre backspegel,Höger,
Trasig,Yttre backspegel,Vänster,
Övrigt,Annan del,,
Övrigt,Bagagelucka,Insida,
Övrigt,Bagagelucka,Utsida,
Övrigt,Däck,Höger bak,
Övrigt,Däck,Höger fram,
Övrigt,Däck,Vänster bak,
Övrigt,Däck,Vänster fram,
Övrigt,Dörr insida,Höger bak,
Övrigt,Dörr insida,Höger fram,
Övrigt,Dörr insida,Vänster bak,
Övrigt,Dörr insida,Vänster fram,
Övrigt,Dörr utsida,Höger bak,
Övrigt,Dörr utsida,Höger fram,
Övrigt,Dörr utsida,Vänster bak,
Övrigt,Dörr utsida,Vänster fram,
Övrigt,Front läpp,Höger,
Övrigt,Front läpp,Mitten,
Övrigt,Front läpp,Vänster,
Övrigt,Fälg,Höger bak,
Övrigt,Fälg,Höger fram,
Övrigt,Fälg,Vänster bak,
Övrigt,Fälg,Vänster fram,
Övrigt,Glas,Bak,
Övrigt,Glas,Fram,
Övrigt,Glas,Höger bak,
Övrigt,Glas,Höger fram,
Övrigt,Glas,Vänster bak,
Övrigt,Glas,Vänster fram,
Övrigt,Grill,,
Övrigt,Motorhuv,Utsida,
Övrigt,Skärm,Höger bak,
Övrigt,Skärm,Höger fram,
Övrigt,Skärm,Vänster bak,
Övrigt,Skärm,Vänster fram,
Övrigt,Stötfångare fram,Bak,
Övrigt,Stötfångare fram,Fram,
Övrigt,Stötfångare fram,Höger bak,
Övrigt,Stötfångare fram,Höger fram,
Övrigt,Stötfångare fram,Vänster bak,
Övrigt,Stötfångare fram,Vänster fram,
Övrigt,Stötfångare bak,Bak,
Övrigt,Stötfångare bak,Fram,
Övrigt,Stötfångare bak,Höger bak,
Övrigt,Stötfångare bak,Höger fram,
Övrigt,Stötfångare bak,Vänster bak,
Övrigt,Stötfångare bak,Vänster fram,
Övrigt,Tak,,
Övrigt,Tröskel,Höger,
Övrigt,Tröskel,Vänster,
Övrigt,Yttre backspegel,Höger,
Övrigt,Yttre backspegel,Vänster,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
